"There is no reason to worry."	[4106589, 3036911, 2073834, 553922, 923452, 269155, 184755, 2724968, 1198917, 1518685, 16872, 1754702, 1668749, 3640854, 1050251, 1654792, 1177858, 860797, 3157237, 770408, 516079, 1540320, 313307, 2558221, 803984, 3749409, 1141513, 3889806, 5023601, 176704, 484163, 545300, 559164, 6261551, 415660, 342679, 2023439, 782608, 1515891, 1667803, 4291196, 327214, 1562547, 1283251, 2138273, 971974, 587036, 852846, 3770349, 8749159, 882227, 930788, 763701, 311325, 760884, 551769, 465624, 984071, 236709, 877346, 1904394, 776822, 3602740, 1237273, 2931079, 715962, 2270999, 1191022, 1102199, 3471425, 924639, 2596495, 207790, 803207, 487683, 499709, 1681516, 1433970, 1566297, 386366, 3358610, 6744710, 3032143, 2528612, 750546, 4236674, 831876, 2037287, 5148029, 2958645, 680494, 540653, 3470053, 1025316, 2952188, 1252016, 2233475, 913509, 1905184, 2107064, 138681, 810396, 4689892, 474876, 1920238, 861267, 1276250, 7501506, 1230261, 3700870, 281710, 1888305, 2767394, 2191142, 108663, 263611, 1345225, 1870804, 5054673, 1706896, 1171820, 2888301, 818294, 1910717, 1953531, 383933, 2283852, 319654, 259802, 937310, 1243521, 466809, 252371, 326723, 360001, 1291832, 2196630, 539250, 431348, 428355, 1213077, 1418891, 3501407, 845521, 3654644, 962453, 2285242, 1009692, 12545, 2078331, 293739, 2791750, 1252415, 794698, 2041403, 884464, 2016738, 315238, 2462414, 1431270, 1164763, 1520966, 63177, 839672, 412220, 806468, 370874, 883555, 1022288, 1751275, 2378442, 52220, 1237031, 2872522, 345738, 266334, 227318, 1266801, 1824963, 231890, 330400, 1423222, 1733713, 240355, 231509, 45967, 502023, 1505149, 679795, 38628, 22958, 53245, 1544461, 471884, 2572872, 1870231, 1119159, 183761, 32849, 3615207]
"There is no safety reason to do so."	[4106589, 1117115, 1246597, 553922, 759808, 269155, 184755, 392570, 1198917, 1518685, 1271859, 809150, 1668749, 231210, 1050251, 1654792, 1177858, 860797, 6583016, 770408, 468271, 1540320, 313307, 228933, 803984, 2855348, 1141513, 1166949, 2651959, 1232246, 484163, 40068, 243804, 2184231, 1238739, 342679, 2023439, 782608, 4582755, 1000304, 2021155, 327214, 2301842, 3537878, 1347426, 364637, 587036, 6512, 31962, 1882971, 2996635, 930788, 126694, 311325, 494359, 551769, 465624, 984071, 236709, 795227, 1904394, 292192, 808254, 1237273, 311437, 715962, 547785, 1191022, 5230054, 3471425, 496119, 694755, 207790, 803207, 426596, 499709, 1681516, 1433970, 1566297, 386366, 2996250, 3780789, 674758, 2528612, 1970665, 848027, 50122, 589749, 3609790, 1647799, 680494, 540653, 3433595, 1025316, 2540419, 1252016, 5840512, 913509, 344591, 40604, 138681, 810396, 898550, 474876, 731639, 158771, 1276250, 3571780, 181870, 2213731, 1189034, 428225, 2203998, 198627, 108663, 263611, 1007332, 1870804, 764904, 148568, 2927419, 2231298, 818294, 1060852, 1953531, 1517829, 1728981, 234638, 1341641, 937310, 2754640, 466809, 252371, 326723, 360001, 1619465, 3376883, 1441863, 431348, 428355, 655058, 154253, 151330, 845521, 1708181, 962453, 1409828, 1009692, 12545, 4187056, 382282, 205424, 989324, 2693079, 2041403, 884464, 2016738, 315238, 2462414, 111856, 279929, 1520966, 63177, 5410115, 412220, 951219, 370874, 488371, 1022288, 2810037, 346587, 52220, 2133319, 1323099, 345738, 266334, 227318, 1266801, 1824963, 231890, 330400, 479491, 1759792, 87180, 231509, 45967, 502023, 264417, 679795, 38628, 22958, 53245, 6170911, 471884, 223510, 1870231, 1384697, 2229102, 32849, 3615207]
"There is no such index."	[4106589, 1303349, 163390, 553922, 2670645, 381267, 1663241, 2724968, 1307603, 1518685, 1497790, 3657268, 1668749, 1908325, 1050251, 1125612, 1177858, 2996286, 895387, 2111166, 516079, 1540320, 313307, 699559, 1572852, 465961, 2889653, 1446097, 3135556, 1232246, 484163, 1217469, 2040377, 5432879, 2045977, 5922423, 2112487, 1665878, 6360844, 4726, 6103390, 9876395, 3803595, 11185697, 2138273, 9812311, 587036, 196306, 31962, 1743805, 2996635, 2533116, 1802323, 311325, 2002426, 551769, 4253030, 984071, 143155, 5219233, 1904394, 776822, 8900946, 1237273, 3105028, 715962, 4696413, 2214908, 6264704, 41430, 924639, 3231761, 1549707, 803207, 6799523, 1495938, 1082333, 2747342, 1566297, 386366, 1100229, 9278479, 4351156, 2528612, 7313923, 3069308, 1872003, 2128231, 155119, 589299, 680494, 540653, 1530037, 2566942, 265699, 1252016, 5037162, 886880, 5837084, 40604, 338055, 2917818, 11267526, 474876, 1318847, 861267, 1276250, 3041492, 3793197, 906980, 6765578, 1888305, 2767394, 2191142, 108663, 263611, 1218187, 6340776, 2100218, 1706896, 2927419, 2531813, 818294, 2376419, 315513, 1517829, 8252872, 319654, 2785982, 937310, 3209378, 299836, 252371, 326723, 7905905, 463710, 3807760, 1441863, 431348, 428355, 6084550, 2709251, 3501407, 2339098, 1974500, 3274583, 2285242, 5647858, 515515, 3582455, 1455481, 2931742, 2282410, 583632, 3952653, 884464, 2016738, 1220045, 1067083, 111856, 1164763, 221984, 63177, 8508061, 1482754, 2840798, 370874, 5593054, 2251310, 465071, 1964409, 52220, 1979671, 4335352, 10666516, 266334, 227318, 729784, 375527, 231890, 1532218, 5780828, 1447986, 240355, 1729748, 45967, 502023, 947046, 1941209, 1091382, 685767, 6969, 6212601, 471884, 1178347, 6340203, 3829626, 1785288, 32849, 2200889]
"There is no test that can tell you if it is sealed or not."	[530324, 664152, 1503677, 553922, 883501, 544813, 1527294, 933817, 1198917, 878595, 4305122, 202761, 647157, 1221629, 1050251, 2644176, 188459, 1055210, 136275, 2111166, 516079, 1540320, 313307, 120222, 606186, 384235, 116660, 359897, 176164, 1232246, 484163, 214621, 1743972, 103123, 292197, 140831, 644479, 38615, 985541, 2054372, 2089921, 614980, 1412178, 1732448, 834277, 52155, 35126, 1563160, 1446121, 1727560, 2764786, 232633, 2358618, 311325, 2397675, 551769, 1783077, 984071, 1290473, 1729511, 537761, 776822, 2262360, 791740, 351177, 715962, 575171, 1447845, 4604813, 925881, 924639, 624615, 1549707, 176155, 2222702, 15348, 209267, 65133, 386891, 386366, 231163, 954294, 1000771, 84296, 2535598, 163333, 113298, 180573, 605569, 702430, 680494, 540653, 28564, 294443, 1911, 1048661, 1157592, 699637, 605398, 3702754, 3459090, 75940, 2753043, 278385, 381371, 245049, 1276250, 37095, 288114, 465954, 2234124, 925101, 1028332, 224520, 108663, 263611, 4259566, 491234, 2794398, 256875, 350403, 634816, 209252, 329023, 538602, 1517829, 16344, 319654, 174064, 921991, 2512566, 466809, 252371, 326723, 288614, 3324406, 1102003, 493841, 431348, 110528, 1926032, 304298, 357879, 767556, 96554, 134103, 324431, 1009692, 12545, 193551, 128849, 623292, 384612, 30198, 657909, 884464, 99262, 315238, 899944, 956782, 639095, 204615, 63177, 1776021, 3910779, 69678, 370874, 1772327, 1467312, 768341, 14321, 52220, 2133319, 1809450, 118283, 266334, 227318, 1266801, 312873, 231890, 4124163, 546391, 679298, 240355, 18022, 45967, 100948, 1505149, 62729, 101879, 791387, 53245, 571719, 471884, 1839413, 490661, 663794, 1375002, 32849, 171979]
"There is no universally-agreed way to do it."	[300531, 847243, 3754313, 553922, 467887, 1192294, 577513, 269441, 1754049, 878595, 256363, 3978441, 1668749, 475211, 1050251, 1679349, 24541, 127052, 799861, 690334, 211864, 1540320, 313307, 120222, 803984, 1926034, 2269593, 302886, 5023601, 588357, 484163, 1217469, 243804, 871323, 710995, 3741170, 475236, 1665878, 226936, 2327076, 1890095, 2067588, 1285308, 1689721, 1306500, 3305430, 587036, 6512, 1379668, 850047, 1265023, 930788, 4216015, 311325, 372425, 551769, 465624, 984071, 1742774, 63515, 804113, 292192, 1906591, 1237273, 3105028, 225679, 693818, 139398, 163692, 1953183, 924639, 116, 1549707, 520114, 426596, 668047, 1681516, 2747342, 174064, 83407, 3358610, 1304051, 5363932, 502811, 3042101, 542402, 3533121, 242103, 605569, 2424836, 680494, 540653, 28564, 3047161, 739314, 1048661, 1028674, 699637, 344591, 3702754, 194712, 810396, 986696, 338896, 2048839, 158771, 1276250, 1623206, 1230261, 3700870, 1189034, 925101, 2203998, 2099359, 108663, 263611, 216546, 3781927, 1774475, 1313396, 1009990, 202730, 471485, 138405, 753772, 1517829, 803342, 319654, 638590, 937310, 2420684, 466809, 252371, 326723, 495334, 1619465, 2588902, 1441863, 431348, 426974, 655058, 72681, 3094974, 709671, 496016, 3026744, 599243, 117731, 1146780, 1998594, 1306280, 205424, 2282410, 1319092, 433380, 264203, 2016738, 1220045, 2462414, 987124, 279929, 3014480, 63177, 1772700, 412220, 447414, 370874, 113340, 381285, 1578598, 346587, 52220, 582394, 1323099, 374030, 266334, 108611, 1208213, 693183, 231890, 330400, 2710600, 1064842, 240355, 947992, 45967, 502023, 2048716, 334270, 2002896, 1424299, 53245, 186951, 128239, 1195475, 3781354, 1384697, 1306042, 32849, 669361]
"There is no way to win it."	[300531, 3036911, 3754313, 553922, 2670645, 1192294, 1663241, 2724968, 3818547, 878595, 16872, 3978441, 1668749, 2607951, 1050251, 2844031, 1177858, 2996286, 4104619, 770408, 211864, 276548, 313307, 2937559, 803984, 3749409, 6465763, 3889806, 5023601, 1232246, 484163, 1217469, 559164, 871323, 710995, 2525657, 1660873, 1665878, 3742645, 6611829, 351848, 5980744, 2301842, 842221, 2138273, 3434449, 212185, 852846, 3770349, 5379818, 2996635, 930788, 6082237, 311325, 1394057, 551769, 465624, 984071, 1742774, 4884094, 804113, 776822, 1906591, 1237273, 3105028, 715962, 693818, 3800602, 163692, 3613965, 924639, 443539, 1549707, 803207, 10186893, 1495938, 1681516, 2747342, 575958, 386366, 3358610, 274307, 3790396, 2528612, 3911104, 1216464, 5106107, 242103, 5188830, 2958645, 680494, 540653, 3470053, 4006016, 2383888, 1048661, 2233475, 699637, 1905184, 525762, 194712, 810396, 5460695, 474876, 495279, 861267, 1276250, 2072307, 1230261, 3700870, 281710, 925101, 2767394, 72103, 108663, 263611, 6146081, 910107, 1774475, 1706896, 2927419, 202730, 818294, 271240, 4271960, 1517829, 1452494, 319654, 638590, 937310, 3209378, 466809, 252371, 326723, 495334, 2472729, 3744326, 396554, 431348, 428355, 8096511, 72681, 3501407, 9226814, 3865891, 3274583, 1772107, 321166, 3595755, 3935637, 1455481, 3032483, 2282410, 794698, 6865751, 264203, 2016738, 1220045, 2462414, 863536, 1164763, 3014480, 63177, 839672, 412220, 2161388, 370874, 696146, 1022288, 2810037, 2378442, 52220, 2133319, 3117296, 4930624, 266334, 227318, 1266801, 1773172, 231890, 330400, 106272, 1733713, 240355, 1994579, 45967, 502023, 2707647, 679795, 43169, 1424299, 53245, 186951, 471884, 274934, 909534, 1080353, 1740085, 32849, 2587460]
"There is nothing new in what you describe."	[2941808, 3036911, 1716609, 553922, 2126468, 1192294, 3824098, 1092380, 3308901, 316452, 3860729, 902509, 255782, 1221629, 479037, 3801361, 1177858, 988171, 136275, 1920807, 516079, 276548, 313307, 2149598, 847396, 563767, 116660, 3889806, 1922194, 1232246, 484163, 214621, 556893, 148129, 2045977, 140831, 332367, 1665878, 985541, 1267679, 1727936, 1395673, 580723, 842221, 585005, 1177676, 212185, 647575, 218723, 2383900, 1617852, 3827132, 3145311, 311325, 1401772, 189517, 1181894, 144037, 202555, 1703918, 385523, 776822, 1747135, 1237273, 570891, 135563, 1126839, 4717334, 6124008, 41430, 924639, 1955544, 1170718, 803207, 3646061, 1013755, 1681516, 65133, 1566297, 1442884, 2789838, 4582428, 235696, 1301003, 908184, 163333, 389961, 4017234, 1754019, 589299, 680494, 175730, 1530037, 4551735, 1362555, 118841, 2255459, 2020640, 453391, 1105932, 184410, 1154816, 340328, 205228, 1429423, 861267, 1276250, 4750999, 2445012, 906980, 778575, 1147950, 2767394, 824982, 108663, 263611, 2749202, 491234, 734037, 527077, 1073243, 3570222, 776188, 271240, 438219, 534157, 456750, 188605, 2778323, 937310, 3209378, 466809, 1829367, 57594, 1788982, 1773061, 3399230, 396554, 431348, 393281, 1926032, 562146, 619433, 724369, 96554, 98801, 2285242, 603954, 590476, 846063, 128849, 686047, 456994, 885659, 2144871, 1114227, 2016738, 1220045, 2204490, 863536, 1164763, 2157918, 10579, 720410, 2830075, 572805, 370874, 1772327, 1561071, 465071, 988797, 52220, 468104, 2597512, 1275209, 266334, 600091, 551326, 375527, 231890, 1796889, 77783, 408208, 17996, 871599, 45967, 490067, 2767081, 1941209, 819006, 746132, 53245, 2954348, 332343, 1541722, 490661, 734904, 1375002, 32849, 809505]
"There is nothing wrong in dressing formal."	[2941808, 1092188, 2824702, 224035, 2670645, 481876, 735686, 655231, 2227546, 309079, 6285216, 2587805, 255782, 1221629, 605204, 4067057, 1177858, 988171, 93153, 196572, 516079, 276548, 313307, 140103, 1050392, 1065051, 1251651, 3889806, 1118660, 1232246, 484163, 279560, 1379368, 24576, 1876962, 972805, 1041727, 1415101, 2143606, 365433, 4522394, 739539, 450956, 842221, 585005, 1177676, 212185, 1893641, 3770349, 765572, 1617852, 3526983, 6082237, 311325, 1401772, 69479, 1388695, 840645, 202555, 2944105, 1904394, 776822, 1219158, 1237273, 193622, 345055, 2705349, 2042828, 1112505, 41430, 348222, 1162375, 1549707, 589251, 17375, 1172184, 966905, 975901, 891948, 1535426, 568423, 1335778, 172033, 584664, 908184, 210259, 389961, 3714012, 5164044, 589299, 680494, 175730, 1530037, 1463944, 1842249, 37300, 2255459, 2720945, 453391, 1105932, 3122387, 4184933, 1407238, 205228, 3512544, 861267, 1276250, 220219, 690680, 906980, 778575, 1147950, 2767394, 2191142, 108663, 263611, 2749202, 1968956, 734037, 527077, 33296, 489038, 489176, 271240, 2519829, 1517829, 306078, 319654, 1642245, 937310, 749221, 466809, 1434711, 326723, 2810507, 297378, 479502, 396554, 431348, 428355, 3604233, 2318492, 3255917, 1708154, 2541290, 1467727, 1319135, 1016049, 778144, 1147881, 1455481, 2864937, 2282410, 885659, 1162624, 4358119, 32826, 1220045, 2462414, 863536, 1164763, 2853755, 63177, 8764238, 220563, 2840798, 370874, 794920, 2170119, 465071, 1632595, 52220, 468104, 3234640, 1155364, 266334, 134051, 551326, 375527, 231890, 967615, 77783, 1848064, 240355, 2463048, 45967, 502023, 2169430, 1177505, 2002896, 708260, 53245, 100974, 332343, 2102768, 1968383, 61100, 1375002, 32849, 11333812]
"There is really no reason against immunisation."	[879357, 4154218, 491310, 553922, 611611, 10403, 184755, 2724968, 1305172, 561611, 324773, 1754702, 102455, 36672, 1050251, 287978, 1177858, 860797, 926429, 2111166, 516079, 1295896, 313307, 328758, 1572852, 384235, 1141513, 692095, 301814, 588357, 1172343, 545300, 2040377, 103123, 1238739, 342679, 498368, 782608, 1070858, 872991, 2514696, 327214, 1921156, 3057707, 2083225, 971974, 439721, 2048300, 1864763, 869671, 2996635, 575754, 763701, 189310, 1370673, 551769, 4263087, 984071, 236709, 4087744, 537761, 538458, 149325, 791740, 989508, 5582, 386293, 248351, 1596914, 356874, 924639, 1042741, 207790, 803207, 487683, 499709, 1681516, 1433970, 174064, 386366, 820055, 421382, 1066277, 2528612, 750546, 1548915, 1635020, 180573, 5121660, 1181861, 680494, 540653, 2401906, 1025316, 474744, 51765, 1157592, 913509, 176523, 312272, 138681, 3523889, 155376, 193258, 3512544, 153446, 714938, 3138462, 1486372, 3700870, 2020135, 879895, 811749, 2191142, 108663, 263611, 191895, 846050, 655507, 280608, 889468, 2534749, 818294, 2376419, 280851, 231511, 2734718, 658457, 259802, 937310, 349780, 466809, 252371, 326723, 360001, 3646944, 3807760, 966561, 431348, 428355, 600192, 304298, 956950, 845521, 496016, 962453, 2285242, 117731, 1388375, 193551, 382282, 299956, 562964, 893390, 433380, 884464, 1004062, 1220045, 247995, 1041054, 840213, 1520966, 63177, 825556, 522889, 268077, 370874, 113340, 908327, 2609875, 89022, 52220, 1604405, 647865, 345738, 266334, 227318, 53782, 1706339, 2300890, 673276, 361391, 1759792, 240355, 231509, 45967, 502023, 2416545, 948920, 27672, 22958, 53245, 87765, 471884, 2572872, 845477, 1200848, 2229102, 1917875, 129030]
"There is some info about this on Wikipedia, but I'm not sure how acurate it is."	[46611, 192356, 27862, 553922, 61142, 544813, 1527294, 708212, 912806, 878595, 301073, 720876, 296492, 655427, 1050251, 23554, 6473, 43639, 170869, 597894, 200272, 189223, 313307, 455583, 477860, 384235, 563589, 1340132, 143714, 953611, 1150513, 1559943, 796067, 1822228, 590790, 557900, 274366, 1023363, 1411265, 1590473, 786825, 48106, 239248, 1276189, 585005, 364546, 587036, 2582146, 1446121, 85413, 412217, 1290841, 1512188, 311325, 176579, 551769, 1290679, 2349298, 786967, 615567, 1904394, 134899, 162582, 327625, 989508, 506897, 851766, 1385692, 1658168, 41430, 584676, 53322, 1549707, 358095, 656250, 727026, 404408, 112455, 1134670, 813248, 371338, 1215326, 1422605, 191867, 2618412, 204851, 668064, 637022, 630545, 106817, 353742, 489116, 797058, 1334861, 724395, 1048661, 2150515, 699637, 453391, 600414, 664521, 75940, 1393698, 474876, 1043466, 829923, 1117549, 382257, 2352499, 906980, 834863, 703656, 768476, 446184, 108663, 263611, 1221407, 1814288, 449121, 198068, 2927419, 2432820, 818294, 200325, 300681, 1513998, 150376, 24984, 352064, 796423, 618589, 173703, 917563, 326723, 4762778, 1951914, 972012, 25458, 352682, 428355, 589355, 304298, 151330, 430956, 1793304, 2878875, 719891, 1579432, 207585, 148441, 499376, 433894, 188839, 30198, 131320, 2409291, 545844, 524720, 398594, 1431270, 1164763, 412936, 63177, 44976, 1093785, 69678, 370874, 798473, 291651, 465071, 2335555, 52220, 1024249, 446634, 28855, 266334, 796982, 547653, 312873, 206341, 1200990, 1367976, 1600479, 240355, 231509, 45967, 502023, 22929, 34503, 19720, 22958, 53245, 119049, 471884, 72273, 1813715, 15572, 152580, 275654, 514197]
